allow_long,allow_short,atr_stop_mult,atr_tp_mult,deploy_score,ema_fast,ema_slow,family,max_holding_bars,min_holding_bars,slope_bars,slope_min,sma_period,trial,use_take_profit,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_win_rate,volatility_max,volatility_min,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_return_pct,wf_min_exp_r,wf_min_pf,wf_min_return_pct,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,6.0,16.0,106.16575382824419,50,150,sma_slope_state,168,3,18,0.0,150,393,True,1.8061672816906125,37,-390.6472313325273,-0.3885104138246691,0.1590211917576876,1927.1988845740393,1.9384989099003467,0.44542005847864785,154.72832535137076,0.1590211917576876,0.2046406703190461,10,4.15611626454914,4.230036015625748,4.933348376744455,1.5179533466906021,0.8107157437341008,0.20792411766336205,338.1639978618579,2.6303815309733034,682.2796900822624,17,0.03288201160541586,0.23529411764705882,0.2,0.001,2.064855445306554,0.36979746746664777,2.7701227002009756,1.114034379450505,-0.23880825416048088,0.0,-1.5629007234944294,8,8,1,142.0936135917859,50,11
True,False,1.5,6.0,102.93115115842879,20,150,sma_state,120,2,6,0.001,300,242,True,2.2197054440793473,12,-751.8378178626342,-0.7170480481347209,0.24198720439658375,2955.468902057683,2.879334148857672,0.9726978824825921,236.7773074494503,0.24198720439658375,0.11698356429262005,8,5.107007311300451,5.219319425178184,3.9309926048408315,1.4294518563057568,1.1289115295591823,0.5043523622213104,2049.0681579977886,7.103319223483544,4116.494166284706,30,0.058027079303675046,0.26666666666666666,0.2,0.001,4.6364946915197205,0.6091368671377064,2.73174058556173,1.1100220073182188,-0.7005413290601153,0.0,-3.2511641004709673,8,8,2,121.41992919698926,53,11
True,True,5.0,16.0,101.76397224331308,20,300,sma_state,120,4,12,0.0,400,172,False,2.4261533338306296,33,-283.31820512875396,-0.2797050716629627,0.18482586117474012,2429.6059387782693,2.430058703223637,0.8957022149086238,181.75450525530718,0.18482586117474012,0.38285530132130197,21,4.971917966927638,5.092105138073927,8.57553766329324,1.7742491717158426,1.1459370632868955,0.8238060112111278,887.35280010163,6.36140768393573,1799.7933807162108,35,0.06769825918762089,0.17142857142857143,1.0,0.0005,3.070346918364538,0.33869170867500686,2.6218856775465396,0.932841558995208,-0.2209762903237678,0.24839724372178879,-2.193601545482554,7,7,3,117.6911619987896,78,11
True,False,3.0,8.0,52.256340543334574,80,100,sma_slope_state,120,4,18,0.0025,100,108,True,2.212878147444528,26,-633.2747401194854,-0.6398036730801359,-0.02500398344209736,1772.2883651338143,1.8193950854720178,-0.0984929821935325,-31.883963806160466,-0.02500398344209736,0.17144698678698034,7,4.578298093777615,4.636748790161308,2.7986089652011406,0.9328696550670468,-0.13151264157158346,-0.03590525196603735,713.8451370473505,-0.6376792761231918,1427.8486218744756,20,0.03868471953578337,0.25,0.2,0.003,2.43453458226001,0.24701960093182998,2.149704486123279,1.091093832932074,-0.4705582331239373,0.0,-1.8711462801667949,8,8,4,106.59249464840858,58,11
True,False,3.0,4.0,69.18659875449832,20,150,sma_state,48,6,48,0.0,300,13,True,1.3705939595780592,16,-603.9039953577661,-0.5930405385846839,0.048114363053891135,856.6628126753384,0.8495579901021099,0.260275628971538,45.236808212502524,0.048114363053891135,0.14373187238156623,6,3.309381192087256,3.352761413880951,1.4185413894601449,1.1348331115681158,0.439256206038379,0.09846661082327814,985.3987382192998,1.2213938217375835,1975.2277896399005,27,0.05222437137330754,0.4444444444444444,0.12,0.0005,3.375059113756836,0.19087428379095897,2.813069289568612,0.5246786299870728,-0.4476867388439734,0.0,-2.159293000711186,8,8,5,105.22918902635685,47,11
True,True,3.0,8.0,132.75250890832623,10,100,sma_state,48,2,48,0.001,150,286,False,1.3032634987556317,21,-441.3094961471066,-0.41487387355491673,0.34588224526486455,2036.8405902736486,1.9096587117277481,4.472778759258433,369.72144122695875,0.34588224526486455,0.3867225265871737,8,3.1235681768043286,3.161617811676848,4.615447000475798,2.245352594826064,2.598470452954651,1.645182053508463,2048.3601515095424,20.334679267482745,4075.516340355841,55,0.10638297872340426,0.32727272727272727,1.0,0.003,6.9803858532793175,0.2699643589682858,2.9178648722167297,1.548022613189895,-0.4428213212400164,0.11124475875933834,-6.03796509232436,8,8,6,104.98353291203466,110,11
True,False,6.0,24.0,40.90817183547297,20,100,ema_state,72,6,24,0.02,80,244,True,2.6421734717844876,38,-515.986084955187,-0.5122685667866003,-0.07958627284454317,1070.9542132915064,1.0742331776676093,-0.2848510770826876,-83.18418543336156,-0.07958627284454317,0.27231711247180146,5,4.551131668477752,4.594605470323142,2.0755486330305164,0.7783307373864438,-0.5552512796236517,-0.11844251645335532,403.6058070597682,-1.83005207953394,804.3562332144309,22,0.0425531914893617,0.2727272727272727,0.12,0.001,2.355426090248975,0.17365579033587195,2.394697574500812,0.722800861019878,-0.29150740178426926,0.0,-1.5795815455812119,7,7,7,104.43556977703693,46,11
True,True,5.0,16.0,91.22568681151861,80,400,sma_slope_state,168,3,24,0.001,150,83,True,1.959600049606497,41,-398.9817144647278,-0.405760603160165,0.17596619072457476,1501.5903917023936,1.5184126381508976,1.090103109504223,175.60985251602978,0.17596619072457476,0.573960683209797,5,4.841294839798298,4.92917186570196,3.7635569181833834,1.6308746645461327,1.3845048837718767,0.5578557469031831,946.5728372805211,7.551223658189264,1889.3459087202943,43,0.08317214700193423,0.3023255813953488,1.0,0.0,4.2679019947608845,0.24945230218824532,2.6908624836000077,0.7664553948281086,-0.3474581960289384,0.10589903837075418,-3.7643920533972413,7,7,8,102.82782360283217,88,11
True,False,2.0,12.0,387.7180191113382,30,100,ema_state,168,3,48,0.005,50,34,False,2.1300776681438824,60,-1094.5479597778924,-0.9300776681438823,2.098935200800284,10388.625991910794,9.671467373160699,4.236418968309694,2186.358883561732,2.098935200800284,0.27425072510473736,5,4.900995010000001,5.0,9.491247870051188,3.7964991480204753,1.6699224273668685,3.3317719015947396,838.9916733942517,30.609024369864247,1741.012134987723,14,0.027079303675048357,0.2857142857142857,0.2,0.003,4.464226537282887,0.6717027629254827,2.450362990875961,2.111903637450174,-1.0,0.0,-4.38438716490168,7,7,9,100.74102611300185,38,11
True,True,2.5,16.0,8.88838676922272,30,300,ema_state,168,4,36,0.0,80,280,True,5.977736631103985,45,-942.07200604927,-0.9642843587778165,-0.1724155113476591,4090.809047420875,4.314841290756567,-0.2540540524355113,-187.13984802874825,-0.1724155113476591,0.29326458266194005,11,10.466174574128353,11.0,4.342352836251168,0.7662975593384412,-0.5561300279615219,-0.5870667931070046,733.7543966545295,-3.742796960574968,1496.7556908162326,20,0.03868471953578337,0.15,0.2,0.002,4.0,0.7408381837869521,3.3564893480304003,1.890206861304487,-0.8574969019485295,0.0,-3.1014490304508797,6,6,10,100.5419043088282,40,11
